hhsize,sexo,hours_worked,province,inschool,minutes_work,minutes_study,minutes_bbsit,minutes_hprod,indig,RMG,year,FACTORY,age,FAC_AGE
10,femenino ,52,guatemala,0,0,0,,1140,1,0,2006,1,15,15
10,masculino,0,guatemala,1,0,540,,0,1,0,2006,1,9,9
10,masculino,0,guatemala,1,0,540,,0,1,0,2006,1,11,11
10,masculino,44,guatemala,0,480,0,,30,1,0,2006,1,16,16
10,femenino ,44,guatemala,1,480,0,,180,1,0,2006,1,16,16
10,masculino,0,guatemala,0,480,0,,0,1,0,2006,1,13,13
6,femenino ,36,guatemala,1,360,0,0,90,1,0,2014,1,15,15
8,femenino ,0,guatemala,1,0,540,,0,1,0,2006,1,8,8
6,femenino ,0,guatemala,1,30,510,60,0,1,0,2014,1,8,8
6,masculino,0,guatemala,1,30,510,60,0,1,0,2014,1,11,11
3,masculino,0,guatemala,1,30,450,0,0,1,0,2014,1,9,9
4,femenino ,0,guatemala,1,30,510,0,0,1,0,2014,1,11,11
4,femenino ,0,guatemala,1,15,615,0,0,1,0,2014,1,18,18
5,masculino,7,guatemala,1,0,300,0,0,1,0,2000,1,15,15
5,femenino ,0,guatemala,1,0,360,0,165,1,0,2000,1,16,16
5,masculino,0,guatemala,1,0,360,0,0,1,0,2000,1,13,13
3,masculino,0,guatemala,1,10,430,0,0,1,0,2014,1,13,13
3,masculino,56,guatemala,0,420,0,,15,1,1,2006,1,18,18
6,masculino,0,guatemala,1,0,0,0,0,1,0,2000,1,7,7
6,masculino,0,guatemala,1,0,100,0,0,1,0,2000,1,11,11
2,femenino ,66,guatemala,0,710,0,0,45,1,0,2000,1,18,18
2,masculino,0,guatemala,1,0,480,0,30,1,0,2000,1,18,18
1,femenino ,0,guatemala,1,0,480,0,120,1,0,2000,1,18,18
4,masculino,0,guatemala,1,20,440,0,120,1,0,2014,1,14,14
4,femenino ,0,guatemala,1,20,440,0,120,1,0,2014,1,17,17
6,femenino ,56,guatemala,0,480,0,0,90,1,0,2000,1,18,18
5,femenino ,60,guatemala,1,600,0,30,250,1,0,2000,1,17,17
6,femenino ,54,guatemala,0,480,0,0,300,1,0,2000,1,14,14
8,femenino ,21,totonicapan,1,10,360,0,0,1,0,2011,1,9,9
8,femenino ,21,totonicapan,1,10,360,0,0,1,0,2011,1,8,8
3,femenino ,68,guatemala,0,0,0,,960,1,0,2006,1,17,17
5,femenino ,0,guatemala,0,0,0,,0,1,0,2006,1,18,18
5,femenino ,0,guatemala,1,0,720,,0,1,0,2006,1,11,11
2,masculino,91,guatemala,0,900,0,0,70,1,0,2000,1,18,18
8,femenino ,0,guatemala,0,0,0,0,30,1,0,2000,1,12,12
6,masculino,12,guatemala,1,0,360,,240,1,0,2006,1,13,13
6,masculino,12,guatemala,1,0,360,,240,1,0,2006,1,10,10
6,masculino,12,guatemala,1,0,360,,240,1,0,2006,1,12,12
4,femenino ,72,guatemala,0,720,0,0,90,1,0,2014,1,17,17
4,femenino ,0,guatemala,1,15,495,0,90,1,0,2014,1,12,12
4,masculino,0,guatemala,1,15,615,0,15,1,0,2014,1,14,14
5,femenino ,0,guatemala,0,0,0,0,390,1,0,2014,1,18,18
5,femenino ,0,guatemala,1,0,0,0,0,1,0,2014,1,9,9
3,femenino ,72,guatemala,0,720,0,120,165,1,0,2000,1,17,17
6,masculino,0,guatemala,1,10,400,0,80,1,0,2014,1,8,8
7,masculino,0,guatemala,1,0,0,390,1,1,0,2000,1,12,12
7,femenino ,0,guatemala,1,0,0,0,5,1,0,2000,1,7,7
5,masculino,0,guatemala,1,10,310,0,60,1,0,2014,1,10,10
5,masculino,0,guatemala,1,10,310,0,60,1,0,2014,1,9,9
5,femenino ,0,guatemala,1,0,180,0,0,1,0,2000,1,7,7
8,femenino ,0,guatemala,1,180,360,0,120,1,0,2014,1,8,8
8,femenino ,0,guatemala,1,30,210,0,120,1,0,2014,1,8,8
10,masculino,77,guatemala,0,0,0,0,1020,1,0,2014,1,16,16
10,femenino ,0,guatemala,0,0,0,180,360,1,0,2014,1,12,12
10,masculino,0,guatemala,0,0,0,0,420,1,0,2014,1,10,10
10,femenino ,0,guatemala,0,0,0,0,660,1,0,2014,1,14,14
